possibly_sensitive,lang,tweet_id,text,created_at,type
False,pt,1466160047722057730,BRF projeta boom de festas de final de ano e vendas em níveis pré-Covid https://t.co/GrIgNCmz6E,2021-11-29 21:39:29+00:00,
False,en,1466160047004663809,"@JewhadiTM Could it be that a new variant can indicate a weakening of Covid-19 virus? These governments instill fear in the peoples mind, that each time there’s a new variant it becomes more lethal than the previous",2021-11-29 21:39:29+00:00,replied_to
False,es,1466160046660894726,"@JaeVIVE @AytoJaen Ojala en vez de luces , no haya que poner velas por los muertos de covid tras las fiestas iluminadas .",2021-11-29 21:39:29+00:00,replied_to
False,pt,1466160045490642951,quantas milhares de vidas perdidas e casos de covid lotando leitos de hospital serão necessários pra entenderem que não devem fazer carnaval e tão pouco tirar a obrigação do uso da máscara?,2021-11-29 21:39:29+00:00,
False,es,1466160045239029766,"🇺🇸🦠🚨 #VARIANTE | Detectan primer caso de variante Ómicron en EEUU en persona que viajó desde Sudáfrica el 22 de noviembre y dio positivo a la Covid-19 el 29 de noviembre.

@PLprensalatina https://t.co/EGPcsV4IMA
#1Diciembre",2021-11-29 21:39:29+00:00,
False,en,1466160045192798212,@electric_tees @DylanJohnThoma5 Ah gutted for you. I missed loads  last month because of covid! If you have one left I’ll take it,2021-11-29 21:39:29+00:00,replied_to
False,en,1466160044253356035,"Vaccinations lead to more variants!

These doctors explain how mass vaccinations cause COVID to evolve beyond the Omicron variant (below).

Perhaps Africa, where COVID is virtually eliminated by HCQ, has the answer.

#COVID19 #Omicron #OmicronVariant #NuVariant #BigPharma #Fauci https://t.co/piD1iPUHhM https://t.co/VfJHqP6bZy",2021-11-29 21:39:29+00:00,quoted
False,en,1466160044190359564,"@ShaunLintern @thesundaytimes 4. Article just on COVID in children. 
- Lack of vaccine or mitigation.
- facts regarding rates of deaths / hospital admissions / PIMS-TS complications from COVID infection in &lt;18s
- Clinically vulnerable children told to ""get on with life as normal""
- school fines/deregistering",2021-11-29 21:39:29+00:00,replied_to
False,en,1466160042256728065,The league lied on LeBron having covid???,2021-11-29 21:39:28+00:00,
False,en,1466160042240094214,WHO warns world creating ‘toxic’ recipe for new COVID-19 variants as Omicron spreads https://t.co/nc9whWaWAI,2021-11-29 21:39:28+00:00,
False,und,1466160042059649034,"@Ramiro____II
👇👇 https://t.co/pgY5VqQm7c",2021-11-29 21:39:28+00:00,
False,en,1466160036527362051,@Johnglennon5 https://t.co/Tw38Y0ibYN Luckily this guy is a medical doctor (a leading cardiologist no doubt) but keep that head in the sand,2021-11-29 21:39:27+00:00,replied_to
False,en,1466160035499851785,"Covid-19 variants may not evolve to be less dangerous, says Neil Ferguson https://t.co/iZMSyLN6nm",2021-11-29 21:39:27+00:00,
False,en,1466160034220498950,@jimcramer Please don’t show your face in South Philly.  COVID comments are anti-American.  We are circulating petition to Dis-own Kramer. You are definitely not Philly material!!!! Most of Eagles players have already signed!!!,2021-11-29 21:39:26+00:00,replied_to
False,en,1466160033952063488,"I don't believe that.  Those vaccinated can still get and spread covid.  Also, vaccine have very serious side effects that can lead to death. The vaccines were rushed and we are their test.  Some were made before the ""pandemic"", https://t.co/YQUnEzJFpY",2021-11-29 21:39:26+00:00,quoted
False,pt,1466160032798621697,"O meu pai nao para de falar do covid claro e já me veio dizer que a nova variante afinal nao vem de África mas sim da Holanda. Digam la que não é incrível que ele procura as merdas para eu nao ter q viajar. Irrita-me ter quase 25 anos e ele ser assim, eu sei o q faço.",2021-11-29 21:39:26+00:00,
False,en,1466160031271985158,Fresh From CNN News European Commission chief calls for discussion on mandatory vaccinations for bloc https://t.co/Xng9OPO2I6,2021-11-29 21:39:26+00:00,
False,fr,1466160031108407300,"@Aurelie_Gascon Apparemment ce n'est pas en rapport avec le Covid.

Ils profitent qu'on ait la tête sous l'eau pour nous l'enfoncer encore plus.

Perfect time pour une puterie !",2021-11-29 21:39:26+00:00,replied_to
False,en,1466160030156083201,Covid going around the NBA like a groupie 😂 https://t.co/qseWIP7p7N,2021-11-29 21:39:25+00:00,quoted
False,en,1466160029963272202,"@Tommer007 @Michell24126613 @DonnellyStephen It's well known that colds, flu and COVID are viral infections that spread via airborne transmissions so anything that can lessen human spread aerosols will reduce the chances of spreading the infections.  These viruses need human, or maybe animal, bodies to survive.",2021-11-29 21:39:25+00:00,replied_to
